# lat [m]   lon [m]   Z [m]
43.489363597     94.0960767508     2150.08786846
43.4966549842     94.0888345551     2201.44416229
43.5112359256     94.0743447906     2347.07115145
43.5185255038     94.0670977595     2399.23933001
43.5258143699     94.0598488157     2482.10198446
43.5331024367     94.0525980919     2592.14700435
43.4840912402     94.0860638703     2064.78178851
43.491382132     94.0788211575     2110.17682418
43.4986724538     94.0715766831     2166.62255093
43.5059621678     94.064330485     2234.00000052
43.5132511605     94.0570822742     2348.73302414
43.5205396766     94.0498331962     2384.50569234
43.5278277704     94.0425826507     2390.95247487
43.5351150841     94.0353300771     2451.22602583
43.5424015224     94.0280757168     2551.88886301
43.4788180146     94.0760519145     2025.85467199
43.4861083924     94.0688085007     2085.54191177
43.4933981479     94.0615636386     2128.93608751
43.5006873275     94.0543164883     2248.22769048
43.5079758303     94.0470682496     2315.45996066
43.5152637654     94.0398185629     2359.78813244
43.5225514002     94.0325676213     2327.89562989
43.5298383361     94.0253146059     2360.73709005
43.5371246319     94.0180598724     2410.05575815
43.5444097664     94.0108033636     2542.49053925
43.4662538632     94.0732828968     2015.92657441
43.4735439368     94.0660413459     2009.58174614
43.4808337092     94.0587975743     2053.97764941
43.4881229371     94.0515520508     2112.28152804
43.4954115877     94.0443046773     2205.30915357
43.5026995746     94.0370560199     2255.66068315
43.5099870334     94.0298059004     2270.26803259
43.5172740167     94.0225541051     2274.95681181
43.5245603832     94.0153004902     2315.23856952
43.5318460744     94.0080451922     2378.31346929
43.5391310947     94.0007882897     2450.76723258
43.5464156405     93.9935297819     2501.23245295
43.4609795989     94.0632744463     2017.35051707
43.4682690876     94.0560322278     2020.83440796
43.4755581162     94.0487882445     2028.68419279
43.4828467314     94.041542361     2063.85101775
43.4901348129     94.0342947617     2109.15997841
43.4974223339     94.0270453955     2184.57577012
43.5047092494     94.0197946093     2210.91530345
43.511995654     94.0125421582     2227.446952
43.5192815558     94.0052880009     2242.61684896
43.5265668354     93.998032141     2286.11406528
43.5338513657     93.9907746823     2363.60489196
43.5411352229     93.9835156628     2445.1987105
43.5484184768     93.9762550547     2519.88344282
43.5775465459     93.947195831     2699.113785
43.5848278615     93.9399263854     2689.25328646
43.4557044254     94.0532677776     2014.47261773
43.4629934289     94.0460248209     2041.29088652
43.470281798     94.0387803204     2045.86860875
43.4775697643     94.0315339826     2072.24873606
43.484857118     94.0242860961     2063.69039384
43.4921440982     94.0170362837     2116.82325748
43.4994304868     94.0097848604     2162.42093128
43.5067163568     94.0025318175     2155.77235224
43.5140016907     93.9952770421     2186.42275328
43.5212863661     93.9880206575     2252.68678031
43.5285704143     93.980762681     2320.31840616
43.5358538576     93.9735030965     2384.54730762
43.5431366282     93.9662419536     2457.0723641
43.5504190249     93.9589790144     2496.58652295
43.5577007372     93.9517145188     2549.83139468
43.5649816122     93.9444486031     2627.1853391
43.5722631531     93.9371799732     2588.86480208
43.5795436876     93.929910052     2600.53053681
43.586823199     93.922638872     2650.84503024
43.4504286434     94.0432625997     2047.25874873
43.457716771     94.0360193482     2038.9107602
43.4650045518     94.0287742538     2049.37989792
43.472291908     94.02152739     2075.62438792
43.479578714     94.014278859     2095.37444734
43.4868649997     94.0070286339     2112.42518687
43.4941507717     93.9997767044     2123.69069755
43.5014360462     93.9925230678     2144.54922415
43.5087208127     93.9852677184     2158.67453041
43.5160050509     93.9780106915     2183.27601369
43.5232886528     93.9707521123     2238.10253304
43.5305715217     93.9634920745     2321.65182048
43.5378539249     93.9562302535     2372.38739603
43.54513585     93.9489666773     2407.92823281
43.5524172735     93.941701377     2437.46285538
43.559698356     93.9344341777     2446.048516
43.5669783537     93.9271658921     2511.26038907
43.5742578697     93.9198958544     2564.69210299
43.5815365807     93.9126244127     2634.77438856
43.4451524361     94.0332590222     2126.69078928
43.452439911     94.0260152369     2127.99176576
43.4597266696     94.0187698287     2090.73584081
43.4670131188     94.01152257     2067.90862314
43.4742993498     94.0042734856     2094.4330034
43.4815850232     93.9970227152     2111.53257057
43.4888702036     93.9897702552     2137.66368549
43.496154845     93.9825160673     2147.89129777
43.5034389886     93.9752601909     2166.63410884
43.5107226222     93.9680026037     2183.80220473
43.518005702     93.9607434065     2216.82173955
43.5252882566     93.9534824998     2244.73806578
43.5325702443     93.9462199628     2279.13182866
43.5398516206     93.9389558511     2323.57764975
43.5471323921     93.9316901385     2372.52471638
43.5544129914     93.9244222185     2373.49167969
43.5616922246     93.9171537467     2466.76681067
43.5689706746     93.9098838651     2569.28096969
43.5762499999     93.9026104497     2539.80118785
43.5835279147     93.8953364728     2587.18151583
43.4398747381     94.0232577184     2127.62050722
43.4471618692     94.0160132801     2163.02057054
43.4544488608     94.0087671042     2255.90883039
43.4617340652     94.0015194426     2164.92829072
43.4690193153     93.9942698905     2137.10530556
43.4763041972     93.9870185542     2119.44824131
43.483588733     93.9797655376     2134.16333628
43.4908727627     93.9725108031     2147.08332434
43.4981562942     93.965254378     2164.52734711
43.5054393078     93.9579963092     2191.43355536
43.5127218043     93.9507364995     2211.10675624
43.5200037567     93.9434750693     2240.05433411
43.5272851811     93.9362119373     2267.04990011
43.5345661064     93.9289470504     2288.00687478
43.5418465362     93.9216804189     2305.51645649
43.5491257567     93.9144132919     2413.71294517
43.5564052487     93.9071430347     2410.18004676
43.5636836193     93.8998720511     2472.60223419
43.5709614331     93.8925993716     2529.99143155
43.5782392456     93.8853241902     2538.48965293
43.585515581     93.8780486786     2620.56827457
