# X [m]   Y [m]   Z [m]
-1177.64197012     -7774.34444899     2145.24998748
-367.932490198     -7187.51350389     2197.39155243
1251.48646965     -6013.8516137     2344.11853167
2061.19594957     -5427.02066861     2396.60141566
2870.90542949     -4840.18972351     2479.62194189
3680.61490942     -4253.35877841     2589.6680026
-1764.47291522     -6964.63496907     2060.74205099
-954.763435295     -6377.80402397     2106.92262221
-145.053955372     -5790.97307888     2163.99702942
664.655524551     -5204.14213378     2231.84630548
1474.36500447     -4617.31118868     2346.89431485
2284.0744844     -4030.48024359     2382.82509655
3093.78396432     -3443.64929849     2389.27314206
3903.49344424     -2856.81835339     2449.39113009
4713.20292417     -2269.9874083     2549.74158252
-2351.30386031     -6154.92548915     2022.45644475
-1541.59438039     -5568.09454405     2082.92948963
-731.884900468     -4981.26359895     2126.95260197
77.8245794547     -4394.43265386     2246.71630311
887.534059378     -3807.60170876     2314.26380127
1697.2435393     -3220.77076366     2358.75034848
2506.95301922     -2633.93981857     2326.85936534
3316.66249915     -2047.10887347     2359.54551307
4126.37197907     -1460.27792837     2408.55203292
4936.08145899     -873.446983277     2540.51785682
-3747.84428533     -5932.04695432     2012.07030166
-2938.13480541     -5345.21600922     2006.66836822
-2128.42532549     -4758.38506413     2051.85033256
-1318.71584556     -4171.55411903     2110.78341463
-509.006365642     -3584.72317393     2204.28338976
300.703114281     -2997.89222884     2254.9504059
1110.4125942     -2411.06128374     2269.71638971
1920.12207413     -1824.23033864     2274.40695729
2729.83155405     -1237.39939355     2314.53366293
3539.54103397     -650.568448451     2377.29667393
4349.2505139     -63.7375033542     2449.28171681
5158.95999382     523.093441742     2499.1213823
-4334.67523043     -5122.3374744     2013.82216045
-3524.96575051     -4535.5065293     2018.24921396
-2715.25627058     -3948.6755842     2026.88530953
-1905.54679066     -3361.84463911     2062.68159682
-1095.83731074     -2775.01369401     2108.46316425
-286.127830815     -2188.18274891     2184.19470969
523.581649108     -1601.35180382     2210.69314229
1333.29112903     -1014.52085872     2227.22684281
2143.00060895     -427.689913624     2242.24194638
2952.71008888     159.141031472     2285.42752833
3762.4195688     745.971976569     2362.44988827
4572.12904872     1332.80292167     2443.41841272
5381.83852865     1919.63386676     2517.32102654
8620.67644834     4266.95764715     2691.85464001
9430.38592826     4853.78859224     2680.42784537
-4921.50617553     -4312.62799447     2011.11549619
-4111.7966956     -3725.79704938     2038.87720055
-3302.08721568     -3138.96610428     2044.24149371
-2492.37773576     -2552.13515918     2071.25134303
-1682.66825583     -1965.30421409     2063.16586496
-872.958775912     -1378.47326899     2116.61474542
-63.2492959887     -791.642323894     2162.37158317
746.460183934     -204.811378798     2155.725319
1556.16966386     382.019566299     2186.22118844
2365.87914378     968.850511395     2252.17384243
3175.5886237     1555.68145649     2319.33725881
3985.29810363     2142.51240159     2382.94111862
4795.00758355     2729.34334668     2454.68430956
5604.71706347     3316.17429178     2493.25976597
6414.4265434     3903.00523688     2545.40911923
7224.13602332     4489.83618197     2621.51074954
8033.84550324     5076.66712707     2581.78096744
8843.55498316     5663.49807217     2591.88067149
9653.26446309     6250.32901726     2640.47236795
-5508.33712062     -3502.91851455     2043.9162022
-4698.6276407     -2916.08756945     2036.51189498
-3888.91816078     -2329.25662436     2047.76786922
-3079.20868085     -1742.42567926     2074.64234459
-2269.49920093     -1155.59473416     2094.86553391
-1459.78972101     -568.763789067     2112.23255116
-650.080241085     18.067156029     2123.65748923
159.629238838     604.898101125     2144.51859444
969.338718761     1191.72904622     2158.4896318
1779.04819868     1778.55999132     2182.78000073
2588.75767861     2365.39093641     2237.13856681
3398.46715853     2952.22188151     2320.06307255
