# X [m]   Y [m]   Z [m]
70.6390188784     -6081.10271012     2189.8649413
973.680443962     -5651.54923896     2275.92729834
1876.72186905     -5221.99576781     2376.16891623
-358.914452277     -5178.06128504     2184.60414417
544.126972807     -4748.50781388     2278.851204
1447.16839789     -4318.95434272     2276.07607011
2350.20982297     -3889.40087157     2378.23893154
3253.25124806     -3459.84740041     2406.75596049
-1691.50934852     -4704.57333111     2076.83752901
-788.467923433     -4275.01985995     2143.44895161
114.573501651     -3845.4663888     2219.56924566
1017.61492673     -3415.91291764     2296.94266436
1920.65635182     -2986.35944648     2325.65897108
2823.6977769     -2556.80597533     2344.81440256
3726.73920199     -2127.25250417     2423.07066334
4629.78062707     -1697.69903302     2485.46910873
-2121.06281967     -3801.53190602     2067.49984274
-1218.02139459     -3371.97843487     2126.05359767
-314.979969505     -2942.42496371     2177.51617029
588.061455579     -2512.87149256     2244.11026819
1491.10288066     -2083.3180214     2281.41881125
2394.14430575     -1653.76455024     2280.886947
3297.18573083     -1224.21107909     2348.30843868
4200.22715592     -794.657607932     2437.85473825
5103.268581     -365.104136776     2510.90585091
-3453.65771591     -3328.0439521     2042.48690301
-2550.61629083     -2898.49048094     2063.00762416
-1647.57486575     -2468.93700978     2092.19342706
-744.533440661     -2039.38353863     2129.95546368
158.507984423     -1609.83006747     2164.36673817
1061.54940951     -1180.27659632     2208.43817116
1964.59083459     -750.72312516     2263.96532661
2867.63225968     -321.169654004     2290.04882608
3770.67368476     108.383817152     2389.49117951
4673.71510984     537.937288308     2451.9277015
5576.75653493     967.490759464     2618.71888121
-3883.21118707     -2425.00252701     2052.14200737
-2980.16976199     -1995.44905586     2076.47370054
-2077.1283369     -1565.8955847     2086.81307242
-1174.08691182     -1136.34211354     2089.05337331
-271.045486733     -706.788642388     2178.6806995
631.995938351     -277.235171232     2173.63162465
1535.03736344     152.318299924     2177.52011651
2438.07878852     581.87177108     2253.08849347
3341.1202136     1011.42524224     2323.86976401
4244.16163869     1440.97871339     2394.60034958
5147.20306377     1870.53218455     2494.22123567
6050.24448886     2300.0856557     2664.94996284
-5215.80608331     -1951.51457308     2122.4471704
-4312.76465823     -1521.96110193     2068.69359627
-3409.72323314     -1092.40763077     2084.57149844
-2506.68180806     -662.854159615     2090.88057858
-1603.64038297     -233.300688459     2113.33033771
-700.598957889     196.252782697     2125.75121939
202.442467196     625.806253852     2144.28528064
1105.48389228     1055.35972501     2157.23199005
2008.52531736     1484.91319616     2220.02365502
2911.56674245     1914.46666732     2269.39791089
3814.60816753     2344.02013848     2383.2267565
4717.64959262     2773.57360963     2454.00678862
5620.6910177     3203.12708079     2495.01201468
6523.73244278     3632.68055194     2586.79994049
7426.77386787     4062.2340231     2621.30684363
8329.81529295     4491.78749426     2649.07262752
9232.85671804     4921.34096541     2673.33957849
-5645.35955446     -1048.473148     2202.32073214
-4742.31812938     -618.919676843     2207.03616813
-3839.2767043     -189.366205687     2122.21773576
-2936.23527921     240.187265469     2102.86153857
-2033.19385413     669.740736625     2114.96765496
-1130.15242904     1099.29420778     2136.20311192
-227.11100396     1528.84767894     2153.48046955
675.930421124     1958.40115009     2173.87634178
1578.97184621     2387.95462125     2186.03899644
2482.01327129     2817.5080924     2253.47724831
3385.05469638     3247.06156356     2316.13349412
4288.09612146     3676.61503472     2383.46605914
5191.13754654     4106.16850587     2438.14100321
6094.17897163     4535.72197703     2460.19339014
6997.22039671     4965.27544818     2529.44467304
7900.2618218     5394.82891934     2549.4499
8803.30324688     5824.3823905     2611.62649558
9706.34467197     6253.93586165     2642.98794571
-6074.91302562     -145.431722914     2159.10060624
-5171.87160054     284.121748241     2203.43747761
-4268.83017545     713.675219397     2248.89086362
-3365.78875037     1143.22869055     2166.63616684
-2462.74732528     1572.78216171     2154.68213854
-1559.7059002     2002.33563286     2145.01836638
-656.664475116     2431.88910402     2154.39101926
246.376949968     2861.44257518     2183.47590655
1149.41837505     3290.99604633     2186.62574221
2052.45980014     3720.54951749     2220.04433067
2955.50122522     4150.10298864     2259.43932887
3858.5426503     4579.6564598     2297.08045877
4761.58407539     5009.20993096     2360.96310037
5664.62550047     5438.76340211     2396.80141577
6567.66692556     5868.31687327     2439.1112099
7470.70835064     6297.87034442     2527.28780885
8373.74977573     6727.42381558     2538.29640307
9276.79120081     7156.97728674     2636.77828741
-6504.46649678     757.60970217     2204.002891
-5601.42507169     1187.16317333     2248.01195268
-4698.38364661     1616.71664448     2323.03626938
-3795.34222152     2046.27011564     2343.31794906
-2892.30079644     2475.82358679     2264.54671173
-1989.25937136     2905.37705795     2230.56149846
-1086.21794627     3334.9305291     2203.9591948
-183.176521188     3764.48400026     2178.67118672
719.864903896     4194.03747142     2194.7710848
1622.90632898     4623.59094257     2219.15340656
2525.94775406     5053.14441373     2224.21043177
3428.98917915     5482.69788488     2257.72452295
4332.03060423     5912.25135604     2317.84821869
5235.07202932     6341.8048272     2370.65105458
6138.1134544     6771.35829835     2430.00304318
7041.15487949     7200.91176951     2512.78812144
7944.19630457     7630.46524066     2529.62010882
8847.23772965     8060.01871182     2607.54872863
9750.27915474     8489.57218298     2625.67253595
-4224.89569268     2949.31154072     2413.00769922
-3321.8542676     3378.86501188     2402.67877591
-2418.81284251     3808.41848303     2357.3115368
-1515.77141743     4237.97195419     2281.64506552
-612.729992344     4667.52542534     2239.64036151
290.31143274     5097.0788965     2251.97708002
1193.35285782     5526.63236766     2276.29931895
2096.39428291     5956.18583881     2259.76037229
2999.43570799     6385.73930997     2264.1566888
3902.47713308     6815.29278112     2284.43452817
4805.51855816     7244.84625228     2355.8555304
5708.55998325     7674.39972344     2376.32013057
6611.60140833     8103.95319459     2443.62352685
7514.64283341     8533.50666575     2499.00803272
8417.6842585     8963.0601369     2510.52965038
9320.72568358     9392.61360806     2609.89564842
10223.7671087     9822.16707922     2663.09332856
-1945.32488858     5141.01337927     2451.49365972
-1042.2834635     5570.56685043     2359.14976926
-139.242038415     6000.12032158     2353.1014135
763.799386669     6429.67379274     2380.65686171
1666.84081175     6859.2272639     2386.66546907
2569.88223684     7288.78073505     2399.20715479
3472.92366192     7718.33420621     2312.16460949
4375.96508701     8147.88767736     2319.59973236
5279.00651209     8577.44114852     2369.57831912
6182.04793717     9006.99461968     2415.16065708
7085.08936226     9436.54809083     2424.87026433
7988.13078734     9866.10156199     2480.88304035
8891.17221243     10295.6550331     2564.61216249
9794.21363751     10725.2085043     2654.78971771
334.245915513     7332.71521782     2538.39609006
1237.2873406     7762.26868898     2575.37792115
2140.32876568     8191.82216014     2617.88262405
3043.37019077     8621.37563129     2484.87856145
3946.41161585     9050.92910245     2439.89697269
4849.45304093     9480.4825736     2449.30496516
5752.49446602     9910.03604476     2393.49998405
6655.5358911     10339.5895159     2402.07874842
7558.57731619     10769.1429871     2448.90962756
8461.61874127     11198.6964582     2581.45167942
9364.66016635     11628.2499294     2494.18561492
10267.7015914     12057.8034005     2656.38471172
1710.77529453     9094.86358522     2509.45339239
2613.81671961     9524.41705638     2685.3045155
3516.85814469     9953.97052753     2647.766109
4419.89956978     10383.5239987     2658.84207676
5322.94099486     10813.0774698     2666.50890973
6225.98241995     11242.630941     2651.34631539
7129.02384503     11672.1844122     2596.12550029
8032.06527011     12101.7378833     2535.69261605
8935.1066952     12531.2913545     2498.66903072
3990.34609862     11286.5654238     2587.34980195
4893.38752371     11716.1188949     2633.07578556
5796.42894879     12145.6723661     2737.58050297
-293.012728119     -1824.60680305     2164.01415613
610.028696965     -1395.05333189     2201.10320902
1513.07012205     -965.499860738     2250.62553329
2416.11154713     -535.946389582     2270.33651386
3319.15297222     -106.392918426     2319.00478834
-959.310176239     -1587.86282609     2106.12483555
-507.789463697     -1373.08609051     2138.20702305
-56.2687511548     -1158.30935493     2177.2474858
395.251961387     -943.532619352     2179.51361717
846.772673929     -728.755883774     2165.92213281
1298.29338647     -513.979148196     2196.33841908
1749.81409901     -299.202412618     2222.49185382
2201.33481156     -84.4256770399     2251.69537865
2652.8555241     130.351058538     2283.71553621
3104.37623664     345.127794116     2323.68377017
3555.89694918     559.904529694     2353.75285478
-722.566199275     -921.565377965     2119.22290798
180.475225809     -492.01190681     2203.26177235
1083.51665089     -62.4584356537     2208.87598952
1986.55807598     367.095035502     2221.65064006
2889.59950106     796.648506658     2265.762406
-1388.86364739     -684.821401001     2113.34012379
-937.342934853     -470.044665423     2108.98459814
-485.822222311     -255.267929845     2113.40889262
-34.3015097686     -40.4911942675     2124.0497232
417.219202773     174.28554131     2144.45684497
868.739915316     389.062276888     2157.14656512
1320.26062786     603.839012466     2163.55142901
