# lat [m]   lon [m]   Z [m]
43.5059987025     94.109415622     2465.57989423
43.4948207639     94.1010683547     2203.64914079
43.503449401     94.097563719     2320.65076149
43.512077506     94.0940574792     2487.67647471
43.4836416378     94.0927214397     2082.85995699
43.4922703511     94.0892169655     2155.50355858
43.5008987371     94.0857106135     2299.85012664
43.5095268057     94.0822051003     2313.84667261
43.5181541855     94.0786963092     2514.26766561
43.4724616409     94.0843767272     2004.84498451
43.4810902678     94.0808721073     2050.16416225
43.4897186858     94.0773662808     2117.01629545
43.4983467978     94.0738597012     2169.16764383
43.5069746221     94.070351921     2245.01672045
43.5156021563     94.0668433808     2306.11073245
43.524228847     94.0633324555     2513.8810101
43.4699094583     94.0725293944     2003.05666206
43.4785375707     94.0690238816     1996.29504026
43.4871657212     94.0655166503     2059.28960493
43.4957936005     94.0620081917     2153.15597606
43.5044210833     94.0584985578     2277.69399799
43.513048306     94.0549888952     2305.47518864
43.5216751148     94.0514777476     2397.39119526
43.5303017821     94.0479660613     2441.39882458
43.4587281795     94.0641891296     2006.53637676
43.467356158     94.0606828449     2023.29518857
43.4759839691     94.0571755838     2039.91540363
43.4846116392     94.0536672565     2066.97616453
43.4932391587     94.050157638     2135.26681013
43.5018663556     94.0466466811     2260.45774098
43.5104931544     94.0431351168     2348.0393777
43.5191198806     94.0396232392     2340.5235899
43.5277463106     94.0361100992     2378.00041541
43.5363724654     94.0325959521     2424.82933848
43.4475463711     94.0558518546     2020.96695446
43.4561739498     94.0523452635     2012.73837577
43.4648015589     94.048837488     2028.00012249
43.4734290509     94.0453286548     2054.23515894
43.4820563104     94.041818946     2066.27294301
43.4906834849     94.0383079707     2125.32716951
43.4993103765     94.0347961461     2168.86795438
43.5079370146     94.031283313     2224.06654035
43.5165632653     94.0277693449     2324.31850548
43.5251894702     94.0242548192     2336.94534958
43.5338151674     94.0207390904     2416.04924841
43.5424407409     94.0172225322     2463.51288941
43.4449913175     94.0440105344     2030.51710138
43.4536189086     94.0405020604     2075.54817083
43.4622457289     94.0369931531     2031.74002467
43.4708728522     94.0334828505     2054.78788842
43.4794997636     94.0299716157     2069.22372178
43.4881265874     94.0264592367     2122.70595898
43.4967531359     94.0229459813     2158.33297875
43.5053794473     94.0194316951     2217.0211709
43.5140055917     94.015916601     2224.32800557
43.5226313861     94.0124003994     2290.55560701
43.5312568117     94.0088832496     2370.7835138
43.5398818703     94.0053651818     2455.6695264
43.4338085834     94.035678673     2093.27679539
43.4424358391     94.0321698047     2128.12254925
43.4510624505     94.0286602275     2107.3204386
43.4596888868     94.0251496984     2069.22595803
43.4683155083     94.0216379911     2072.09661649
43.4769420332     94.0181252627     2084.04117452
43.4855683981     94.0146115545     2093.33193497
43.4941946544     94.0110967844     2144.27425813
43.5028206697     94.0075811189     2153.90671207
43.5114464732     94.0040644401     2199.51923062
43.5200719982     94.0005468089     2255.88743819
43.5286971924     93.9970282433     2324.95373373
43.5373220845     93.9935087499     2393.06106947
43.5459462678     93.9899884157     2517.15451937
43.4312518114     94.0238409331     2133.34922889
43.4398785771     94.0203306477     2158.62804977
43.4485051178     94.016819404     2179.69892452
43.4571312075     94.0133072698     2160.3907257
43.4657568884     94.0097942127     2078.02942558
43.4743830802     94.006279966     2097.47561224
43.4830090821     94.0027647435     2111.14374653
43.4916349281     93.9992485359     2126.81952584
43.5002606105     93.9957313381     2132.69888463
43.5088861201     93.9922131763     2164.190317
43.5175113855     93.9886940711     2209.37436246
43.5261363355     93.9851740535     2272.11822114
43.5347607899     93.9816532093     2372.38861811
43.5433851637     93.9781313149     2426.92203293
43.552008121     93.9746090349     2622.06638602
43.4373199098     94.0084926288     2168.66258156
43.4459458102     94.0049799209     2157.27285724
43.4545720392     94.0014661887     2204.76336
43.4631975973     93.9979514864     2179.57135207
43.4718230498     93.9944357467     2142.66702635
43.480448515     93.9909189821     2117.03148964
43.489073992     93.9874012619     2128.74074456
43.4976993196     93.9838825803     2151.2500196
43.5063244584     93.980362941     2180.17935846
43.5149494333     93.9768422755     2193.8812034
43.5235741413     93.9733207443     2236.96994804
43.5321982234     93.9697986194     2356.81604865
43.5408221047     93.9662754206     2438.52108338
43.5494460581     93.9627509955     2466.89094319
43.5580689015     93.9592262349     2595.36209842
43.4433858318     93.9931414226     2199.56398154
43.452012095     93.9896263605     2304.4317936
43.4606368625     93.9861100314     2233.07392495
43.4692619735     93.9825927773     2218.15997446
43.4778869112     93.9790744194     2176.82868954
