# X [m]   Y [m]   Z [m]
53.6972314211     -7998.61671107     2250.97917346
785.831759191     -7317.45664673     2355.75759834
1517.96628696     -6636.2965824     2467.25872805
-1359.59736069     -7947.64224764     2138.09539236
-627.462832915     -7266.4821833     2184.94070565
104.671694855     -6585.32211896     2245.56933923
836.806222625     -5904.16205463     2296.32575015
1568.9407504     -5223.00199029     2304.01687329
2301.07527817     -4541.84192596     2383.45859248
3033.20980594     -3860.68186162     2429.88197068
3765.34433371     -3179.52179728     2467.87722533
-2040.75742502     -7215.50771987     2059.8904116
-1308.62289725     -6534.34765553     2086.56339027
-576.488369481     -5853.18759119     2132.17440876
155.646158289     -5172.02752686     2182.72191188
887.780686059     -4490.86746252     2310.38298543
1619.91521383     -3809.70739819     2331.75442335
2352.0497416     -3128.54733385     2338.88477666
3084.18426937     -2447.38726951     2353.36393839
3816.31879714     -1766.22720518     2428.2897133
4548.45332491     -1085.06714084     2464.44566578
-2721.91748936     -6483.3731921     2027.73377538
-1989.78296159     -5802.21312776     2085.5254688
-1257.64843382     -5121.05306342     2110.29063654
-525.513906048     -4439.89299909     2131.77495473
206.620621723     -3758.73293475     2257.63184942
938.755149493     -3077.57287041     2299.62177231
1670.88967726     -2396.41280608     2285.51940643
2403.02420503     -1715.25274174     2289.21602826
3135.1587328     -1034.09267741     2339.33821768
3867.29326057     -352.932613069     2403.2944137
4599.42778834     328.227451267     2435.50435421
5331.56231611     1009.3875156     2550.7656406
6063.69684388     1690.54757994     2639.89373674
-3403.07755369     -5751.23866433     2008.18208277
-2670.94302592     -5070.07859999     2022.11032842
-1938.80849815     -4388.91853565     2050.02043534
-1206.67397038     -3707.75847132     2104.87448675
-474.539442614     -3026.59840698     2173.0277115
257.595085157     -2345.43834264     2173.8551387
989.729612927     -1664.27827831     2229.84105479
1721.8641407     -983.118213972     2254.99983653
2453.99866847     -301.958149636     2243.0716736
3186.13319624     379.201914701     2332.30375699
3918.26772401     1060.36197904     2372.47538284
4650.40225178     1741.52204337     2432.07304212
5382.53677955     2422.68210771     2515.29408038
6114.67130732     3103.84217205     2538.58844805
6846.80583509     3785.00223638     2556.43438496
-4084.23761803     -5019.10413656     2010.76141458
-3352.10309026     -4337.94407222     2031.39051707
-2619.96856249     -3656.78400788     2034.92689754
-1887.83403472     -2975.62394355     2060.69213559
-1155.69950695     -2294.46387921     2116.82314889
-423.56497918     -1613.30381487     2126.3623918
308.56954859     -932.143750538     2188.45470173
1040.70407636     -250.983686202     2162.4281448
1772.83860413     430.176378135     2204.81223912
2504.9731319     1111.33644247     2246.36364267
3237.10765967     1792.49650681     2290.05711967
3969.24218744     2473.65657114     2383.8015039
4701.37671521     3154.81663548     2414.23003903
5433.51124298     3835.97669982     2489.31228807
6165.64577075     4517.13676415     2477.05207031
6897.78029852     5198.29682849     2486.14093428
8362.04935406     6560.61695716     2547.75104926
9094.18388183     7241.7770215     2603.16742866
-4765.39768237     -4286.96960879     2008.8610095
-4033.2631546     -3605.80954445     2030.65985836
-3301.12862683     -2924.64948011     2048.04302222
-2568.99409906     -2243.48941578     2066.99637458
-1836.85957129     -1562.32935144     2075.04765017
-1104.72504352     -881.169287104     2105.09120521
-372.590515746     -200.009222768     2111.97209639
359.544012024     481.150841568     2135.14193828
1091.67853979     1162.3109059     2156.2583087
1823.81306756     1843.47097024     2185.42867949
2555.94759533     2524.63103458     2226.11216978
3288.08212311     3205.79109891     2310.61333272
4020.21665088     3886.95116325     2354.43835689
4752.35117865     4568.11122759     2368.06774047
5484.48570642     5249.27129192     2391.55169064
6216.62023419     5930.43135626     2441.87812727
6948.75476196     6611.5914206     2439.2057028
7680.88928973     7292.75148493     2564.36300527
8413.0238175     7973.91154927     2540.02498893
9145.15834527     8655.0716136     2575.26718351
-5446.5577467     -3554.83508102     2051.68699213
-4714.42321893     -2873.67501668     2045.85859294
-3982.28869116     -2192.51495234     2054.88372316
-3250.15416339     -1511.35488801     2072.151518
-2518.01963562     -830.19482367     2094.67129559
-1785.88510785     -149.034759334     2116.35556774
-1053.75058008     532.125305002     2134.20996274
-321.616052312     1213.28536934     2143.39352609
410.518475458     1894.44543368     2168.06962092
1142.65300323     2575.60549801     2188.11463678
1874.787531     3256.76556235     2216.98583801
2606.92205877     3937.92562668     2228.73189671
3339.05658654     4619.08569102     2267.30092348
4071.19111431     5300.24575536     2305.05719503
4803.32564208     5981.40581969     2313.91389096
5535.46016985     6662.56588403     2389.25112167
6267.59469762     7343.72594837     2385.93993043
6999.72922539     8024.8860127     2452.04382776
7731.86375316     8706.04607704     2469.81290474
8463.99828093     9387.20614137     2516.14959352
-6859.85233881     -3503.86061758     2076.26076463
-6127.71781104     -2822.70055325     2125.61207088
-5395.58328327     -2141.54048891     2128.26232091
-4663.4487555     -1460.38042457     2110.49714861
-3931.31422773     -779.220360236     2097.30011366
-3199.17969996     -98.0602959001     2088.38296226
-2467.04517219     583.099768436     2116.805479
-1734.91064442     1264.25983277     2130.67531464
-1002.77611665     1945.41989711     2154.34330158
-270.641588878     2626.57996145     2151.94324567
461.492938892     3307.74002578     2176.78972837
1193.62746666     3988.90009012     2207.51761654
1925.76199443     4670.06015445     2227.65019092
2657.8965222     5351.22021879     2244.91996586
3390.03104997     6032.38028313     2221.2025323
4122.16557774     6713.54034746     2319.80610718
4854.30010551     7394.7004118     2323.43689213
5586.43463328     8075.86047614     2384.89426404
6318.56916105     8757.02054047     2420.81133643
7050.70368882     9438.18060481     2423.34708659
7782.83821659     10119.3406691     2470.12650899
-6808.87787538     -2090.56602548     2153.40553941
-6076.74334761     -1409.40596114     2111.26595047
-5344.60881984     -728.245896803     2213.75060546
-4612.47429207     -47.0858324663     2259.08178669
-3880.3397643     634.07423187     2187.57017926
-3148.20523653     1315.23429621     2205.59307659
-2416.07070876     1996.39436054     2182.19423996
-1683.93618098     2677.55442488     2178.90830282
-951.801653215     3358.71448922     2203.11275436
-219.667125444     4039.87455355     2200.69841681
512.467402326     4721.03461789     2225.19355858
1244.6019301     5402.19468222     2269.75047589
1976.73645787     6083.35474656     2290.19385274
2708.87098564     6764.5148109     2310.12412598
3441.00551341     7445.67487523     2291.27215168
4173.14004118     8126.83493957     2312.81844828
4905.27456895     8807.99500391     2335.40553995
5637.40909672     9489.15506824     2360.39739888
6369.54362449     10170.3151326     2385.24375225
-6757.90341194     -677.271433369     2174.76360157
-6025.76888417     3.88863096758     2201.77198727
-5293.6343564     685.048695304     2267.52654346
-4561.49982863     1366.20875964     2294.50476064
-3829.36530086     2047.36882398     2341.54243949
-3097.23077309     2728.52888831     2324.22225654
-2365.09624532     3409.68895265     2352.48997123
-1632.96171755     4090.84901699     2275.08225044
-900.827189781     4772.00908132     2283.83738781
-168.692662011     5453.16914566     2308.54261646
563.44186576     6134.32920999     2369.67851951
1295.57639353     6815.48927433     2377.2650143
2027.7109213     7496.64933867     2491.12155859
2759.84544907     8177.809403     2468.11108454
3491.97997684     8858.96946734     2481.63767198
4224.11450461     9540.12953168     2481.97445955
4956.24903238     10221.289596     2572.33603071
-6706.92894851     736.023158738     2207.08997527
-5974.79442074     1417.18322307     2229.40041408
-4510.5253652     2779.50335175     2306.37977179
-3778.39083743     3460.66341608     2406.7109954
-3046.25630966     4141.82348042     2471.71856148
-1581.98725412     5504.14360909     2500.92492338
-849.852726347     6185.30367343     2509.67902305
-117.718198577     6866.46373776     2456.6429416
1346.55085696     8228.78386644     2601.58345242
2078.68538473     8909.94393077     2624.45402942
2810.8199125     9591.10399511     2676.26257802
-108.472178729     -2686.01837481     2168.61559723
623.662349042     -2004.85831048     2231.80536963
1355.79687681     -1323.69824614     2226.50204748
2087.93140458     -642.538181804     2266.710002
2820.06593235     38.6218825326     2304.56053331
-815.119474782     -2660.5311431     2112.09359414
-449.052210897     -2319.95111093     2172.01436128
-82.9849470117     -1979.37107876     2190.66954064
283.082316873     -1638.79104659     2176.82156978
649.149580759     -1298.21101442     2200.9947623
1015.21684464     -957.630982255     2184.23247298
1381.28410853     -617.050950087     2219.58328192
1747.35137241     -276.470917919     2216.99466996
2113.4186363     64.1091142495     2219.85020063
2479.48590018     404.689146418     2252.48247369
2845.55316407     745.269178586     2271.18178316
-789.632243065     -1953.88384704     2136.49216734
-57.4977152947     -1272.72378271     2169.74035425
674.636812475     -591.56371837     2150.37167255
1406.77134025     89.5963459665     2195.36316487
2138.90586802     770.756410303     2226.98785512
-1496.27953912     -1928.39661533     2069.90180144
-1130.21227523     -1587.81658316     2104.15964478
-764.145011348     -1247.23655099     2150.76768408
-398.077747463     -906.656518821     2169.04365073
-32.0104835778     -566.076486653     2175.77919753
334.056780307     -225.496454485     2144.53801888
700.124044192     115.083577683     2135.22885877
1066.19130808     455.663609852     2197.67872087
1432.25857196     796.24364202     2191.79610333
1798.32583585     1136.82367419     2197.83443509
2164.39309973     1477.40370636     2227.47458747
-1470.7923074     -1221.74931927     2093.6444244
-738.657779631     -540.589254936     2111.34968674
-6.52325186086     140.5708094     2118.65008084
725.611275909     821.730873737     2140.41568848
1457.74580368     1502.89093807     2159.96427709
-2177.43960345     -1196.26208756     2095.85188891
-1811.37233957     -855.682055387     2103.71148014
