# lat [m]   lon [m]   Z [m]
43.500440401     94.0988647814     2255.98507731
43.5070346359     94.0904538486     2359.99543011
43.5136280144     94.0820412723     2470.88528315
43.4877245889     94.0982158487     2143.1827064
43.4943190633     94.0898072863     2189.10291413
43.5009128144     94.0813968393     2248.96322829
43.5075058266     94.0729848322     2299.10811661
43.5140982034     94.0645715614     2306.34451933
43.5206897053     94.0561558474     2385.48827392
43.5272805574     94.0477387564     2431.77047831
43.533870731     94.0393200064     2469.78133685
43.4816029092     94.0891603223     2064.29104408
43.4881968131     94.0807518401     2090.03864506
43.494790053     94.072341382     2134.88106844
43.5013825725     94.0639291627     2184.81676697
43.5079742653     94.0555145743     2312.0228055
43.5145653107     94.0470992734     2333.09602337
43.5211557324     94.0386822825     2340.08493771
43.5277454801     94.0302634429     2354.57943581
43.5343342442     94.021842602     2429.67730954
43.5409224738     94.0134202069     2466.1621394
43.475480532     94.0801058241     2031.60442676
43.4820739234     94.0716968508     2088.47044883
43.488666512     94.0632865253     2112.46675544
43.4952584218     94.0548744618     2133.33900155
43.5018496316     94.0464598646     2258.74059188
43.5084400657     94.0380442662     2300.43201487
43.5150299186     94.0296272067     2286.18793565
43.5216191129     94.0212082188     2289.89961992
43.5282074662     94.0127873154     2340.19364315
43.5347950117     94.004364702     2404.47844273
43.5413820021     93.9959404045     2437.17376144
43.5479676708     93.9875145213     2553.07716369
43.5545526947     93.9790870236     2643.00413279
43.4693574293     94.0710529216     2011.67948583
43.4759500716     94.0626442973     2024.68180144
43.4825420991     94.0542337604     2051.82276332
43.4891334899     94.045821273     2106.06445515
43.4957241506     94.0374070211     2173.76211094
43.5023140685     94.0289914228     2174.29076294
43.5089032808     94.0205738177     2230.13468231
43.515491825     94.0121545872     2255.30824933
43.5220798179     94.0037336128     2243.55165235
43.5286667516     93.9953108491     2333.11206849
43.5352531432     93.9868863878     2373.76880196
43.5418386945     93.9784602656     2434.00833096
43.5484233128     93.9700325789     2518.02798875
